# Efinity GPIO Pin Assignment
# Version: 2023.2.307
# Date: 2024-04-24 10:36
#
# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.
#
# Device: T120F324
# Package: 324-ball FBGA (final)
# Project: sa
# Configuration mode: active (x1)
# Timing Model: C4 (final)
Package Pin-Pad Name,Instance Name,Mode
R17-GPIOB_TXN00,,
T18-GPIOB_TXN01,,
P18-GPIOB_TXN02,,
V16-GPIOB_TXN03_CDI30,,
V15-GPIOB_TXN04_CDI28,,
R15-GPIOB_TXN05_CDI26,,
U14-GPIOB_TXN06_CDI24,,
R14-GPIOB_TXN07_CDI22,,
U13-GPIOB_TXN08_CDI20,,
R13-GPIOB_TXN09,,
U12-GPIOB_TXN10,,
T12-GPIOB_TXN11,,
N12-GPIOB_TXN12,,
P11-GPIOB_TXN13_CDI18,,
P10-GPIOB_TXN14_CDI16,,
V10-GPIOB_TXN15_CDI14,,
P9-GPIOB_TXN16_CDI12,,
U9-GPIOB_TXN17_CDI10,,
T11-GPIOB_TXN18_CDI8,,
R9-GPIOB_TXN19,,
T17-GPIOB_TXP00,,
U18-GPIOB_TXP01,,
R18-GPIOB_TXP02,,
U16-GPIOB_TXP03_CDI31,,
U15-GPIOB_TXP04_CDI29,,
T15-GPIOB_TXP05_CDI27,,
V14-GPIOB_TXP06_CDI25,,
P14-GPIOB_TXP07_CDI23,,
V13-GPIOB_TXP08_CDI21,,
P13-GPIOB_TXP09,,
V12-GPIOB_TXP10,,
R12-GPIOB_TXP11,,
P12-GPIOB_TXP12,,
N11-GPIOB_TXP13_CDI19,,
N10-GPIOB_TXP14_CDI17,,
U10-GPIOB_TXP15_CDI15,,
N9-GPIOB_TXP16_CDI13,,
V9-GPIOB_TXP17_CDI11,,
U11-GPIOB_TXP18_CDI9,,
T9-GPIOB_TXP19,,
P15-GPIOL_00_SS_N,,
N13-GPIOL_01_CCK,,
N15-GPIOL_04_CSI,,
M15-GPIOL_05_CSO,,
M13-GPIOL_08_CDI0,,
N14-GPIOL_09_CDI1,,
M14-GPIOL_11_CBUS0,,
M16-GPIOL_12_CBUS1,,
M17-GPIOL_13_CBUS2,,
K14-GPIOL_14_CDI2,,
L14-GPIOL_15_PLLIN0,,
K18-GPIOL_16_CDI3,,
L15-GPIOL_17_EXTFB0,,
M18-GPIOL_18_CDI4,i_sel_1,input
L18-GPIOL_20_CDI5,i_sel_2,input
L16-GPIOL_22_CDI6,,
L17-GPIOL_24_CDI7,o_tx_serial[1],output
K16-GPIOL_62_CTRL0,o_tx_serial[3],output
K15-GPIOL_63_CTRL1,,
K17-GPIOL_66_CLK0,o_tx_serial[2],output
H14-GPIOL_72_CLK6,i_rx_serial[2],input
H13-GPIOL_73_CLK7,i_rx_serial[1],input
G13-GPIOL_75_CTRL5,i_rx_serial[3],input
J14-GPIOL_150_NSTATUS,,
J15-GPIOL_151_TEST_N,,
J17-GPIOL_156_CBSEL0,,
J18-GPIOL_157_CBSEL1,,
C9-GPIOR_166_PLLIN0,,
D9-GPIOR_167_PLLIN1,sec_clk,input
E9-GPIOR_168_PLLIN2,,
F10-GPIOR_169_MREFCLK,,
G5-GPIOR_173_CTRL12,i_rx_serial[0],input
G6-GPIOR_174_CLK15,,
H6-GPIOR_178_CLK11,,
K6-GPIOR_183_CTRL10,,
U8-GPIOR_186_PLLIN0,,
T8-GPIOR_187_PLLIN1,o_tx_serial[0],output
R8-GPIOR_188_PLLIN2,clk_inst,input
C13-GPIOT_RXN01,,
D16-GPIOT_RXN02,,
C11-GPIOT_RXN03,,
E15-GPIOT_RXN04,,
E14-GPIOT_RXN05,,
D12-GPIOT_RXN06,,
F13-GPIOT_RXN07,,
F11-GPIOT_RXN08_EXTFB0,,
F16-GPIOT_RXN09_CLKN0,,
H17-GPIOT_RXN11,,
H16-GPIOT_RXN12,,
H15-GPIOT_RXN13,,
F14-GPIOT_RXN14,,
E17-GPIOT_RXN15,,
E18-GPIOT_RXN16,,
G18-GPIOT_RXN17,,
C18-GPIOT_RXN18_EXTFB1,,
B17-GPIOT_RXN19_CLKN1,,
A16-GPIOT_RXN20,,
A15-GPIOT_RXN21,,
A14-GPIOT_RXN22,,
A13-GPIOT_RXN23,,
B12-GPIOT_RXN24,i_trigger_1,input
B11-GPIOT_RXN27,i_trigger_2,input
B10-GPIOT_RXN28_EXTFB2,,
A9-GPIOT_RXN29_CLKN2,,
D13-GPIOT_RXP01,,
C16-GPIOT_RXP02,,
D11-GPIOT_RXP03,,
D15-GPIOT_RXP04,,
D14-GPIOT_RXP05,,
E12-GPIOT_RXP06,,
E13-GPIOT_RXP07,,
E11-GPIOT_RXP08_EXTFB0,,
E16-GPIOT_RXP09_CLKP0,,
G17-GPIOT_RXP11,,
G16-GPIOT_RXP12,,
G15-GPIOT_RXP13,,
G14-GPIOT_RXP14,,
D17-GPIOT_RXP15,,
D18-GPIOT_RXP16,,
H18-GPIOT_RXP17,,
B18-GPIOT_RXP18_EXTFB1,,
A17-GPIOT_RXP19_CLKP1,,
B16-GPIOT_RXP20,,
B15-GPIOT_RXP21,,
B14-GPIOT_RXP22,,
B13-GPIOT_RXP23,,
A12-GPIOT_RXP24,,
A11-GPIOT_RXP27,rst_in,input
A10-GPIOT_RXP28_EXTFB2,,
B9-GPIOT_RXP29_CLKP2,,
